,action_id,start,end,TransferData_start,TransferData_end,TrainModel_start,TrainModel_end,TransferModel_start,TransferModel_end,TransferDataRes_bytes_transferred,TransferModelRes_bytes_transferred,total_bytes_transferred,funcx_task_ids,flow_runtime,TransferData_runtime,TrainModel_runtime,TransferModel_runtime,total_funcx_time
57,8acf15a8-7025-4c8e-8998-7f826680d674,1647988463.4506009,1647988713.109,1647988463.972,1647988552.6499999,1647988552.663,1647988706.23,1647988706.275,1647988713.109,24160587990,4118484,24164706474,[],249.65839910507202,88.67799997329712,153.56699991226196,6.833999872207642,153.56699991226196
58,b1900934-aaca-450a-85e1-d1e1ed02ce48,1647988715.2321439,1647988973.1859999,1647988715.585,1647988796.5459998,1647988796.559,1647988967.575,1647988967.611,1647988973.1859999,24160587990,4118483,24164706473,[],257.9538559913635,80.96099972724915,171.01600003242493,5.574999809265137,171.01600003242493
59,e9314a8c-9550-4f28-ad32-0ae9f7f2d270,1647988975.343292,1647989261.224,1647988975.5459998,1647989048.2129998,1647989048.225,1647989235.721,1647989235.744,1647989261.224,24160587990,4118483,24164706473,[],285.88070797920227,72.66700005531311,187.4960000514984,25.480000019073486,187.4960000514984
60,fa6ce3b9-3a98-49cd-a41b-dade450c0043,1647989264.6514618,1647989519.555,1647989264.8860002,1647989367.8430002,1647989367.8579998,1647989514.3980002,1647989514.425,1647989519.555,24160587990,4118484,24164706474,[],254.9035382270813,102.95700001716614,146.54000043869019,5.130000114440918,146.54000043869019
61,d437427d-89c0-4b9c-b755-7de53da02d3b,1647989524.773819,1647989772.049,1647989525.071,1647989595.94,1647989595.9539998,1647989766.387,1647989766.415,1647989772.049,24160587990,4118483,24164706473,[],247.27518105506897,70.86899995803833,170.43300032615662,5.634000062942505,170.43300032615662
62,2326eb20-9fb0-4623-83e2-4d5e1f55dcc1,1647989774.783904,1647990016.542,1647989775.1299999,1647989844.551,1647989844.564,1647990006.716,1647990006.743,1647990016.542,24160587990,4118483,24164706473,[],241.75809597969055,69.42100024223328,162.15200018882751,9.799000024795532,162.15200018882751
63,0e4ddc34-b406-4e4d-9635-fbd2bf4480a5,1647990017.697588,1647990260.106,1647990018.136,1647990087.889,1647990087.91,1647990254.0609999,1647990254.089,1647990260.106,24160587990,4118484,24164706474,[],242.4084119796753,69.75300002098083,166.1509997844696,6.016999959945679,166.1509997844696
64,3fde4ec3-e5fe-4742-8a46-54ec85e63071,1647990261.178955,1647990516.9889998,1647990261.3609998,1647990332.118,1647990332.131,1647990480.022,1647990480.0470002,1647990516.9889998,24160587990,4118483,24164706473,[],255.8100447654724,70.757000207901,147.89100003242493,36.941999673843384,147.89100003242493
65,cce2d47e-62d3-4077-87a2-3efba1d21b98,1647990521.9930692,1647990869.744,1647990522.207,1647990692.5609999,1647990692.576,1647990864.01,1647990864.033,1647990869.744,24160587990,4118483,24164706473,[],347.7509307861328,170.35399985313416,171.4340000152588,5.710999965667725,171.4340000152588
66,7b4ab6de-e8ec-4dbe-8e5f-9b3932c0fd3c,1647990875.516078,1647991252.121,1647990875.7870002,1647991010.498,1647991010.519,1647991198.668,1647991198.692,1647991252.121,24160587990,4118482,24164706472,[],376.6049220561981,134.71099972724915,188.1489999294281,53.42900013923645,188.1489999294281
67,039739ae-567a-42be-831f-415388124535,1647991254.673182,1647991505.769,1647991255.499,1647991331.9689999,1647991331.982,1647991483.936,1647991483.961,1647991505.769,24160587990,4118482,24164706472,[],251.09581804275513,76.46999979019165,151.9539999961853,21.808000087738037,151.9539999961853
68,4b69cd39-d206-4bf7-ba8c-31b72d628ee6,1647991510.457983,1647992016.4390001,1647991510.828,1647991785.968,1647991785.983,1647991976.0110002,1647991976.034,1647992016.4390001,24160587990,4118484,24164706474,[],505.98101711273193,275.1399998664856,190.02800011634827,40.40500020980835,190.02800011634827
69,43d9cab9-c9e0-4565-935b-0930ff187cdb,1647992019.2965848,1647992334.684,1647992019.533,1647992170.4380002,1647992170.452,1647992329.351,1647992329.389,1647992334.684,24160587990,4118485,24164706475,[],315.38741517066956,150.90500020980835,158.89900016784668,5.295000076293945,158.89900016784668
