,action_id,start,end,Transfer_start,Transfer_end,PosTransfer_start,PosTransfer_end,Analyze_start,Analyze_end,Transfer2_start,Transfer2_end,Transfer1Result_bytes_transferred,Transfer2Result_bytes_transferred,total_bytes_transferred,funcx_task_ids,flow_runtime,Transfer_runtime,PosTransfer_runtime,Analyze_runtime,Transfer2_runtime,total_funcx_time
55,3de4d3e4-9d06-494d-9f5e-02d718135bcc,1644518713.2325299,1644522206.9750001,1644518713.6339998,1644518721.6729999,1644518721.682,1644518730.078,1644518730.0860002,1644522201.577,1644522201.614,1644522206.9750001,18737298,0,18737298,[],3493.742470264435,8.039000034332275,8.396000146865845,3471.490999698639,5.361000061035156,3471.490999698639
56,602301cb-0d39-4911-aa2e-af757c340596,1644518719.50195,1644522201.965,1644518719.9859998,1644518730.1369998,1644518730.148,1644518735.557,1644518735.5649998,1644522197.461,1644522197.499,1644522201.965,11229552,0,11229552,[],3482.463049888611,10.151000022888184,5.408999919891357,3461.896000146866,4.4659998416900635,3461.896000146866
57,b8ea30b8-0ffa-46e7-a217-4102ff9b906a,1644518727.973208,1644522217.264,1644518728.148,1644518739.6460001,1644518739.656,1644518744.1169999,1644518744.128,1644522213.034,1644522213.063,1644522217.264,18737920,0,18737920,[],3489.290791988373,11.498000144958496,4.460999965667725,3468.9059998989105,4.200999975204468,3468.9059998989105
58,f9ddd535-e146-4478-bf89-1223233a6601,1644518736.0109189,1644522223.891,1644518736.4259999,1644518743.308,1644518743.318,1644518750.233,1644518750.2419999,1644522218.944,1644522218.972,1644522223.891,11223289,0,11223289,[],3487.880081176758,6.882000207901001,6.914999961853027,3468.702000141144,4.919000148773193,3468.702000141144
59,0c4c8f72-fde4-439f-be3e-98d65f9b1001,1644518742.125943,1644522224.015,1644518742.554,1644518751.3630002,1644518751.371,1644518756.48,1644518756.502,1644522219.755,1644522219.781,1644522224.015,11227866,0,11227866,[],3481.889057159424,8.809000253677368,5.108999967575073,3463.253000020981,4.234000205993652,3463.253000020981
60,92531e34-8a95-49c9-9b42-775e9599c2f2,1644518750.351365,1644522232.498,1644518750.663,1644518755.7289999,1644518755.739,1644518759.6060002,1644518759.629,1644522228.744,1644522228.77,1644522232.498,5637297,0,5637297,[],3482.1466348171234,5.065999746322632,3.867000102996826,3469.1150000095367,3.7279999256134033,3469.1150000095367
61,52c2b50f-f115-4ffa-9cd7-a115e8594063,1644518755.90802,1644522246.1699998,1644518756.204,1644518765.2259998,1644518765.2350001,1644518770.981,1644518770.9910002,1644522242.156,1644522242.196,1644522246.1699998,5640766,0,5640766,[],3490.261979818344,9.021999835968018,5.745999813079834,3471.1649997234344,3.9739997386932373,3471.1649997234344
62,df7805df-cd24-4582-b587-528941589430,1644518761.671169,1644522250.576,1644518761.983,1644518767.9420002,1644518767.95,1644518774.54,1644518774.554,1644522246.08,1644522246.111,1644522250.576,5616824,0,5616824,[],3488.904830932617,5.959000110626221,6.5899999141693115,3471.526000022888,4.4649999141693115,3471.526000022888
63,37c8e1bf-c89d-471a-aa74-9f1a13f50c30,1644518770.37133,1644522266.055,1644518771.039,1644518779.652,1644518779.663,1644518784.408,1644518784.4190001,1644522259.782,1644522259.812,1644522266.055,5632684,0,5632684,[],3495.6836700439453,8.61299991607666,4.744999885559082,3475.3629999160767,6.243000030517578,3475.3629999160767
64,1151d52c-ad80-45db-82fd-3d26ce32fdd7,1644518776.559119,1644522282.8739998,1644518776.937,1644518782.728,1644518782.738,1644518786.938,1644518786.9529998,1644522276.691,1644522276.723,1644522282.8739998,5629662,0,5629662,[],3506.314880847931,5.790999889373779,4.200000047683716,3489.7380001544952,6.1509997844696045,3489.7380001544952
65,9ce2c38f-98c3-419c-8f07-4bdcbb41bcbb,1644518782.646762,1644522269.865,1644518782.8070002,1644518786.672,1644518786.684,1644518793.3470001,1644518793.3569999,1644522264.82,1644522264.849,1644522269.865,5632066,0,5632066,[],3487.2182381153107,3.864999771118164,6.663000106811523,3471.463000059128,5.016000032424927,3471.463000059128
66,1e2b45f7-1c55-4778-81d9-abdeb90cbc1b,1644518790.589545,1644522287.099,1644518790.9180002,1644518796.019,1644518796.028,1644518802.1980002,1644518802.2089999,1644522280.62,1644522280.648,1644522287.099,5628257,0,5628257,[],3496.5094549655914,5.10099983215332,6.170000076293945,3478.4110000133514,6.450999975204468,3478.4110000133514
67,2c563d98-83df-4e18-9859-4177a14469b7,1644518796.0930839,1644522284.681,1644518796.794,1644518801.181,1644518801.1990001,1644518805.9180002,1644518805.928,1644522277.879,1644522277.912,1644522284.681,5633489,0,5633489,[],3488.587916135788,4.38700008392334,4.7190001010894775,3471.9509999752045,6.769000053405762,3471.9509999752045
68,a1f93da4-c0bb-46f3-b87e-7452f1f86f9b,1644518802.1165981,1644522298.0870001,1644518802.481,1644518806.027,1644518806.035,1644518810.46,1644518810.473,1644522293.5609999,1644522293.586,1644522298.0870001,5621779,0,5621779,[],3495.9704020023346,3.5460000038146973,4.424999952316284,3483.0879998207092,4.501000165939331,3483.0879998207092
69,2465cb1d-ae63-4742-b54b-75c4862647cb,1644518810.2377322,1644522295.543,1644518810.447,1644518814.451,1644518814.459,1644518818.041,1644518818.048,1644522291.044,1644522291.071,1644522295.543,5627644,0,5627644,[],3485.3052678108215,4.003999948501587,3.5819997787475586,3472.99599981308,4.471999883651733,3472.99599981308
70,57bffc83-f180-4907-a67a-96b2d498d434,1644518815.612422,1644522308.537,1644518815.9299998,1644518821.2089999,1644518821.218,1644518826.42,1644518826.43,1644522303.111,1644522303.1529999,1644522308.537,5631708,0,5631708,[],3492.9245779514313,5.2790000438690186,5.202000141143799,3476.680999994278,5.384000062942505,3476.680999994278
71,d6090ae8-b110-4c83-8eae-33c81defa105,1644518833.121997,1644522321.4380002,1644518833.502,1644518841.223,1644518841.231,1644518846.412,1644518846.42,1644522317.1950002,1644522317.2259998,1644522321.4380002,5617980,0,5617980,[],3488.3160030841827,7.7209999561309814,5.180999994277954,3470.7750000953674,4.212000370025635,3470.7750000953674
72,c71b9516-6aaf-49f4-9f4d-82f83a5c6026,1644518836.310714,1644522316.8630002,1644518836.6990001,1644518845.464,1644518845.474,1644518849.6230001,1644518849.632,1644522312.599,1644522312.625,1644522316.8630002,5608217,0,5608217,[],3480.5522861480713,8.764999866485596,4.14900016784668,3462.9670000076294,4.238000154495239,3462.9670000076294
73,358c9c91-a714-4de1-8483-6b386d5bea9b,1644518847.8843331,1644522328.555,1644518848.135,1644518852.979,1644518852.9889998,1644518857.1009998,1644518857.112,1644522324.385,1644522324.414,1644522328.555,5637144,0,5637144,[],3480.6706669330597,4.8440001010894775,4.111999988555908,3467.2730000019073,4.141000032424927,3467.2730000019073
